feature,importance
product_category_Coffee,1.4212169393083738
product_category_Tea,1.1748920005897594
product_category_Bakery,0.43590374423082523
product_category_Flavours,0.3080005197106653
product_category_Coffee beans,0.3033214045520215
product_type_Premium Beans,0.1529475209216565
product_category_Branded,0.10419152586785141
product_category_Drinking Chocolate,0.08616690897747435
product_type_Hot chocolate,0.08616690897747435
product_type_Clothing,0.057592683468621064
product_type_Regular syrup,0.05642864258944528
product_type_Gourmet brewed coffee,0.04260911746663265
product_type_Drip coffee,0.031984834347978316
product_type_Brewed herbal tea,0.028434607267213252
product_type_Brewed Black tea,0.02624109199289505
